Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
0,107.53,0,99,7.53,0.0,1,1701375957.4000394,-8.369757277038976e-06,True,up
0,104.65,0,98,4.65,0.0,1,1701375974.3954086,-8.687851633725646e-06,True,up
0,99.78,0,97,-0.22,0.0,1,1701375980.602404,-9.205819813899869e-06,True,up
0,104.38,0,96,4.38,0.0,1,1701375987.9984093,-8.891789614868758e-06,True,up
0,82.35,0,95,-17.65,0.0,1,1701375994.0781066,-1.1389128559102692e-05,True,up
0,83.14,95,95,0.0,0.0,0,1701375999.7716258,-1.128090854994114e-05,True,up
0,88.31,0,85,-116.9,0.0,10,1701376008.3352249,-1.1869950108907806e-05,True,up
1000,67.19,0,1085,0.0,-30.23963133640553,0,1701376018.4515429,-1.2222029419289011e-06,True,up
0,110.93,0,1075,109.3,0.0,10,1701376041.325572,-7.471713777177739e-07,True,up
10,112.89,0,1085,0.0,0.11880184331797236,0,1701376046.918346,-7.274321522562039e-07,True,up
0,115.87,1085,1085,0.0,0.0,0,1701376052.966475,-7.087237047398193e-07,True,up
10,129.64,0,1095,0.0,0.2706849315068493,0,1701376060.5205233,-6.27660159007241e-07,True,up
