Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
2,107.53,0,102,0.0,0.1476470588235294,0,1701337482.6647956,-5.045559561125669e-05,True,up
0,104.65,102,102,0.0,0.0,0,1701337495.5552504,-5.184414903084979e-05,True,up
0,99.78,0,70,-7.04,0.0,32,1701337514.3911662,-7.92314520516565e-05,True,up
0,104.38,0,49,91.98,0.0,21,1701337536.646165,-0.00010819963164418863,True,up
0,82.35,49,49,0.0,0.0,0,1701337548.5685785,-0.00013714483972095216,True,up
0,83.14,49,49,0.0,0.0,0,1701337562.380929,-0.0001358416833175416,True,up
0,88.31,0,37,-140.28,0.0,12,1701337587.352305,-0.00016936651292896339,True,up
0,67.19,37,37,0.0,0.0,0,1701337602.1612306,-0.00022260391065272747,True,up
0,110.93,37,37,0.0,0.0,0,1701337613.1822543,-0.00013483058466381281,True,up
0,112.89,37,37,0.0,0.0,0,1701337635.3318188,-0.00013248965149044873,True,up
0,115.87,37,37,0.0,0.0,0,1701337645.1956522,-0.00012908221935580181,True,up
0,129.64,37,37,0.0,0.0,0,1701337657.7390509,-0.00011537146526347392,True,up
