Period,Base Price
1,100
2,100.2686555
3,99.1058182
4,99.43662537
5,97.90087814
6,98.28581739
7,101.2931553
8,102.2334496
9,101.4415173
10,95.05994627
11,102.0750632
12,102.4559926
13,103.9636714
14,104.5190264
15,104.414772
16,103.1516901
17,105.529492
18,105.0182445
19,104.5470949
20,103.9476322
21,104.2162877
22,104.1601508
23,102.2855768
24,102.8529612
25,102.5321785
26,103.4163359
27,104.9601027
28,108.5669032
29,108.7533582
30,109.5212318
31,109.1984442
32,109.1523317
33,107.5604475
34,107.8712057
35,106.2793215
36,106.2291992
37,104.619271
38,104.7796624
39,105.2568267
40,104.8758972
41,103.3862625
42,102.875015
43,104.2263122
44,105.1285136
45,103.6328642
46,103.3642087
47,100.3328121
48,101.2089498
49,102.0369702
50,102.0269457
51,101.9808332
52,102.1372148
53,103.2880228
54,102.5321785
55,100.9884117
56,100.8079715
57,101.7242071
58,104.1260676
59,102.5863106
60,101.2931553
61,99.1058182
62,98.94542684
63,98.00312763
64,99.39452264
65,99.2301215
66,99.12386222
67,97.94498577
68,97.44977746
69,96.87437347
70,95.53510566
71,93.72268335
72,94.62087493
73,94.38429769
74,93.82493284
75,93.30566582
76,93.38786639
77,92.68414932
78,92.46160632
79,94.30811179
80,94.47251293
81,93.69461486
82,93.16131361
83,95.35667028
84,97.51593889
85,97.439753
86,97.84674606
87,96.81222182
88,97.60214924
89,95.38874855
90,94.93163318
91,95.58121817
92,94.94566743
93,93.12923533
94,93.98532419
95,93.26957777
96,95.6493845
97,96.58366414
98,96.93051045
99,94.60082602
100,93.13525001
101,91.60351257
102,91.26067605
103,89.70087012
104,89.25377922
105,89.14150527
106,88.2653675
107,91.01006456
108,91.28673964
109,90.13192189
110,88.34756807
111,89.72091904
112,90.13994146
113,89.6066402
114,93.47006696
115,93.4861061
116,93.2615582
117,93.88708449
118,93.22146036
119,93.68258551
120,94.09559325
121,94.45045912
122,94.92962829
123,93.84297686
124,94.31011668
125,94.07153454
126,94.18982317
127,94.55070372
128,95.27446971
129,94.71510486
130,95.31456754
131,97.05681864
132,97.88082922
133,97.0407795
134,98.1595092
135,97.90889771
136,99.11784755
137,99.42459601
138,100.1082642
139,99.45466939
140,99.61706564
141,99.81354505
142,98.39207667
143,97.81065801
144,97.60014435
145,97.91691728
146,98.44019407
147,98.42215005
148,97.84875095
149,97.8367216
150,100.5052328
151,101.0706123
152,101.0445487
153,99.03765187
154,98.77100124
155,98.44821364
156,99.33237099
157,99.41657645
158,100.1704158
159,100.2305626
160,99.52083083
161,99.60904607
162,101.0806368
163,102.3236698
164,102.3517382
165,103.3481695
166,102.3216649
167,102.5341834
168,102.8228878
169,101.6680701
170,100.8360399
171,100.0661614
172,100.1022495
173,101.4274831
174,102.2595132
175,102.5983399
176,102.4800513
177,102.7106139
178,101.7983881
179,102.1532539
180,100.6876779
181,101.2751113
182,104.3245519
183,104.8951442
184,104.1220578
185,100.7939372
186,103.8313485
187,100.7197562
188,103.4063114
189,101.7983881
190,99.73936405
191,99.67520751
192,101.2951602
193,100.352861
194,101.3613216
195,102.2194154
196,100.7738883
197,99.69726132
198,99.2782389
199,100.6275312
200,101.2009303
201,100.5914431
202,101.2550624
203,101.706163
204,102.1352099
205,103.3421549
206,103.2579494
207,101.7683147
208,102.5221541
209,101.0465536
210,101.0224949
211,101.1347688
212,99.43462047
213,98.97550022
214,97.98909339
215,97.05080396
216,96.95857893
217,96.51549781
218,96.7420506
219,96.66385982
220,97.18112194
221,97.38562092
222,97.51794378
223,98.16752877
224,99.22611171
225,97.79261398
226,98.28180761
227,98.37202775
228,98.55447291
229,97.69637917
230,95.51906652
231,94.82336902
232,94.42840531
233,93.84698665
234,93.92918722
235,94.98777016
236,93.59236537
237,94.02943181
238,92.95280484
239,92.79241349
240,92.7904086
