Period,Base Price
1,100
2,97.59705299
3,96.63360725
4,96.28790026
5,95.65315954
6,97.70473222
7,97.70473222
8,96.15755171
9,98.34514027
10,100.362709
11,100.034004
12,99.94332672
13,99.94332672
14,98.67951261
15,98.42448286
16,96.75262114
17,98.63984131
18,100.3343723
19,101.6605271
20,101.1164636
21,100.725418
22,102.8223293
23,104.9929158
24,104.9929158
25,104.8512326
26,104.7775574
27,102.9016719
28,102.9980164
29,102.9866818
30,102.5446302
31,102.9923491
32,102.6126381
33,103.9954661
34,103.2020402
35,103.2247095
36,102.7543213
37,102.7543213
38,101.4395013
39,103.3380561
40,103.5534146
41,104.2561632
42,104.3185038
43,104.4375177
44,104.6982148
45,105.1232644
46,106.4154151
47,105.4463021
48,106.2510626
49,107.3108529
50,108.0079343
51,106.568433
52,105.480306
53,105.8203457
54,104.5792009
55,104.5225276
56,105.6276566
57,105.4009634
58,105.4463021
59,105.7466704
60,104.477189
61,103.0093511
62,102.2385945
63,102.7429867
64,103.111363
65,101.1334656
66,100.9521111
67,99.62028903
68,101.2411448
69,102.0855767
70,101.8928875
71,102.9243412
72,100.9747804
73,102.2896005
74,102.1649192
75,101.9098895
76,99.64862567
77,98.62283933
78,98.99121564
79,97.63105696
80,98.19212241
81,97.55171437
82,99.0025503
83,98.07310853
84,98.06177387
85,98.5548314
86,98.17512043
87,98.65117597
88,98.80419382
89,98.69651459
90,96.94531029
91,92.62680646
92,93.34088977
93,94.29300085
94,96.11221309
95,97.24001133
96,97.90875602
97,96.76395579
98,96.65627657
99,97.3760272
100,97.56871635
101,96.78095778
102,96.4182488
103,98.07877586
104,98.70218192
105,98.54916407
106,97.77840748
107,96.5826013
108,96.82062907
109,95.12609804
110,95.18277132
111,95.177104
112,97.0699915
113,96.89430434
114,97.05865684
115,96.79795976
116,98.44715217
117,98.35647492
118,98.84953245
119,97.01898555
120,95.51147634
121,93.8962879
122,94.11731369
123,93.61292151
124,93.38622839
125,94.78605837
126,94.80872768
127,96.61660527
128,97.50070842
129,96.96231227
130,96.61660527
131,96.19722301
132,96.88296968
133,96.45792009
134,99.43326721
135,100.1756872
136,100.2663644
137,99.17823746
138,98.43581751
139,99.96032871
140,100.8954378
141,101.8985548
142,102.1592519
143,101.6548597
144,101.0937943
145,101.3771607
146,100.3853783
147,102.5502975
148,103.5364126
149,103.7064324
150,104.0918107
151,104.0124681
152,104.5168603
153,104.6018702
154,104.4715217
155,105.0665911
156,106.3077359
157,105.911023
158,106.0980448
159,106.4550864
160,106.9878152
161,107.1975064
162,107.2655143
163,106.4720884
164,107.2825163
165,108.1666194
166,107.7189005
167,108.0646075
168,106.6194389
169,106.5287617
170,107.7585718
171,107.4695381
172,107.6735619
173,107.5828847
174,106.1037121
175,106.3360725
176,107.3108529
177,106.7837914
178,106.568433
179,106.3077359
180,106.3247379
181,106.0867101
182,106.948144
183,106.5230944
184,105.0269198
185,105.8883536
186,104.6358742
187,104.9079059
188,104.8115613
189,104.9305752
190,104.6755455
191,105.1232644
192,106.1037121
193,106.25673
194,105.9336923
195,106.8347974
196,107.0784925
197,108.5860017
198,108.7446869
199,107.2711816
200,107.4978748
201,107.1068291
202,107.0444885
203,108.3253046
204,108.8183621
205,109.7988099
206,110.5638991
207,110.337206
208,112.8478322
209,113.0065174
210,112.4397846
211,112.7458203
212,112.9441768
213,112.2414282
214,112.9158402
215,113.153868
216,112.7288184
217,111.8673845
218,109.3794276
219,110.0028337
220,110.5865684
221,111.0682913
222,110.2521961
223,109.2774157
224,108.0022669
225,108.7616889
226,108.4159819
227,107.8662511
228,107.4412015
229,108.0045339
230,108.2334939
231,109.5891187
232,109.8271465
233,109.991499
234,109.8214792
235,109.2377444
236,109.6854633
237,109.8724851
238,110.5865684
239,111.2417115
240,111.505809
